id,name,party,sector,type
500,500,Keine,NA,2
UVDL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
NR,Norbert Roettgen,CDU,Politik,1
SW,Sahra Wagenknecht,Linke,Politik,1
CS,Constanze Stelzenmüller,Keine,Journalismus,1
501,501,Keine,NA,2
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schloegel,Keine,Wissenschaft,1
LM,Ljudmyla Melnyk,Keine,Wissenschaft,2
KD,Kristina Dunz,Keine,Journalismus,2
EL,Eglis Levits,Keine,Politik,1
502,Folge 502,Keine,NA,2
AB,Annalena Baerbock,Gruene,Politik,1
FT,Frans Timmermans,Keine,Politik,1
AM,Andrij Melnyk,Keine,Politk,1
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,Keine,Militaer,1
503,Folge 503,Keine,NA,2
RH,Robert Habeck,Gruene,Politik,1
CM,Claudia Major,Keine,Wissenschaft,1
KP,Katja Petrowskaja,Keine,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,1
504,Folge 504,Keine,NA,2
CLB,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,Keine,Politik,2
CH,Christoph Heusgen,Keine,Militaer,1
MW,Marina Weisband,Keine,Journalismus,1